DTXSID,PREFERRED NAME,CASRN,INCHIKEY,IUPAC NAME,SMILES,INCHI STRING,MOLECULAR FORMULA,AVERAGE MASS,MONOISOTOPIC MASS,# of SOURCES,# OF PUBMED ARTICLES,PUBCHEM DATA SOURCES,CPDAT COUNT,QC Level,# ToxCast Active,% ToxCast Active,Total Assays
https://comptox.epa.gov/dashboard/chemical/details/DTXSID5021883,Propargyl alcohol,107-19-7,TVDSBUOJIPERQY-UHFFFAOYSA-N,Prop-2-yn-1-ol,OCC#C,"InChI=1S/C3H4O/c1-2-3-4/h1,4H,3H2",C3H4O,56.064,56.026215,205,232,103,15,1,7/400,2.0,400
https://comptox.epa.gov/dashboard/chemical/details/DTXSID2020216,Butylated hydroxytoluene,128-37-0,NLZUEZXRPGMBCV-UHFFFAOYSA-N,"2,6-Di-tert-butyl-4-methylphenol",CC1=CC(=C(O)C(=C1)C(C)(C)C)C(C)(C)C,"InChI=1S/C15H24O/c1-10-8-11(14(2,3)4)13(16)12(9-10)15(5,6)7/h8-9,16H,1-7H3",C15H24O,220.356,220.182715,401,2059,236,700,1,62/431,14.0,431
https://comptox.epa.gov/dashboard/chemical/details/DTXSID5021380,"1,1,2-Trichloroethane",79-00-5,UBOXGVDOUJQMTN-UHFFFAOYSA-N,"1,1,2-Trichloroethane",ClCC(Cl)Cl,"InChI=1S/C2H3Cl3/c3-1-2(4)5/h2H,1H2",C2H3Cl3,133.4,131.930033,278,45,128,41,1,14/404,3.0,404
https://comptox.epa.gov/dashboard/chemical/details/DTXSID5021207,"(+/-)-1,2-Propylene oxide",75-56-9,GOOHAUXETOMSMM-UHFFFAOYSA-N,2-Methyloxirane,CC1CO1,"InChI=1/C3H6O/c1-3-2-4-3/h3H,2H2,1H3",C3H6O,58.08,58.041865,262,308,160,161,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID5021544,2-Chlorophenol,95-57-8,ISPYQTSUDJAMAB-UHFFFAOYSA-N,2-Chlorophenol,OC1=CC=CC=C1Cl,"InChI=1S/C6H5ClO/c7-5-3-1-2-4-6(5)8/h1-4,8H",C6H5ClO,128.56,128.002893,251,3214,164,31,1,4/864,0.0,864
https://comptox.epa.gov/dashboard/chemical/details/DTXSID2021446,Xylenes,1330-20-7,,,,,,, ,369,3561,,21788,1,4/235,2.0,235
https://comptox.epa.gov/dashboard/chemical/details/DTXSID6020438,"1,2-Dichloroethane",107-06-2,WSLDOOZREJYCGB-UHFFFAOYSA-N,"1,2-Dichloroethane",ClCCCl,InChI=1S/C2H4Cl2/c3-1-2-4/h1-2H2,C2H4Cl2,98.95,97.969005,334,414,503,195,1,5/400,1.0,400
https://comptox.epa.gov/dashboard/chemical/details/DTXSID9020877,1-Methylnaphthalene,90-12-0,QPUYECUOLPXSFR-UHFFFAOYSA-N,1-Methylnaphthalene,CC1=C2C=CC=CC2=CC=C1,"InChI=1S/C11H10/c1-9-5-4-7-10-6-2-3-8-11(9)10/h2-8H,1H3",C11H10,142.201,142.078250,254,39,177,9,1,6/849,1.0,849
https://comptox.epa.gov/dashboard/chemical/details/DTXSID6047650,4-Heptanone,123-19-3,HCFAJYNVAYBARA-UHFFFAOYSA-N,Heptan-4-one,CCCC(=O)CCC,"InChI=1S/C7H14O/c1-3-5-7(8)6-4-2/h3-6H2,1-2H3",C7H14O,114.188,114.104465,149,26,106,2,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1020647,Furfural,98-01-1,HYBBIBNJHNGZAN-UHFFFAOYSA-N,Furan-2-carbaldehyde,O=CC1=CC=CO1,InChI=1S/C5H4O2/c6-4-5-2-1-3-7-5/h1-4H,C5H4O2,96.085,96.021129,284,1432,165,66,1,21/882,2.0,882
